DATASET,MODEL,RUN,XOPT_DE,XOPT_DE_SCALED,FOPT_DE,FOPT_DE_SCALED,XOPT_PSO,XOPT_PSO_SCALED,FOPT_PSO,FOPT_PSO_SCALED,TIME,MAEDEantes,MAbsEDEantes,MAPEDEantes,MAEPSOantes,MAbsEPSOantes,MAPEPSOantes,MAEDEdepois,MAbsEDEdepois,MAPEDEdepois,MAEPSOdepois,MAbsEPSOdepois,MAPEPSOdepois
Diabetes,SVM,0,[1.],[0.32811519],6494.317294166691,0.5074774159052557,[1.],[1.],6494.317294166691,6494.317294166691,141.91179776191711,69.30717665680045,67.44560480550994,0.5950911544308183,69.30717665680045,67.44560480550994,0.5950911544308183,0.5708273157849008,0.5086307313517391,3.464731461198252,0.5745325897590161,0.4733410856076783,4.997406879937878
Diabetes,SVM,1,[1.],[0.31029807],6494.317294166691,0.5073259992063782,[1.],[1.],6494.317294166691,6494.317294166691,141.73303842544556,69.30717665680045,67.44560480550994,0.5950911544308183,69.30717665680045,67.44560480550994,0.5950911544308183,0.5714909948264913,0.5060823430216925,3.4487232776889845,0.5745325897590161,0.4733410856076783,4.997406879937878
Diabetes,SVM,2,[1.],[0.30305991],6494.317294166691,0.5071847251404009,[1.],[1.],6494.317294166691,6494.317294166691,140.64937162399292,69.30717665680045,67.44560480550994,0.5950911544308183,69.30717665680045,67.44560480550994,0.5950911544308183,0.5717805144077771,0.5048760793401859,3.4499313497974415,0.5745325897590161,0.4733410856076783,4.997406879937878
Diabetes,SVM,3,[1.],[0.29660572],6494.317294166691,0.5070974080496016,[1.],[1.],6494.317294166691,6494.317294166691,141.09643507003784,69.30717665680045,67.44560480550994,0.5950911544308183,69.30717665680045,67.44560480550994,0.5950911544308183,0.5720608404267716,0.5032541531630741,3.450521694309955,0.5745325897590161,0.4733410856076783,4.997406879937878
Diabetes,SVM,4,[1.],[0.30860492],6494.317294166691,0.5072794638328201,[1.],[1.],6494.317294166691,6494.317294166691,141.48694729804993,69.30717665680045,67.44560480550994,0.5950911544308183,69.30717665680045,67.44560480550994,0.5950911544308183,0.5715445267464978,0.5057906700799377,3.448251622163715,0.5745325897590161,0.4733410856076783,4.997406879937878
Diabetes,SVM,5,[1.],[0.30624777],6494.317294166691,0.5072163298546478,[1.],[1.],6494.317294166691,6494.317294166691,140.32616448402405,69.30717665680045,67.44560480550994,0.5950911544308183,69.30717665680045,67.44560480550994,0.5950911544308183,0.571650772734957,0.505720755398325,3.4490292437411623,0.5745325897590161,0.4733410856076783,4.997406879937878
Diabetes,SVM,6,[1.],[0.29811274],6494.317294166691,0.5069767460398872,[1.],[1.],6494.317294166691,6494.317294166691,140.3816168308258,69.30717665680045,67.44560480550994,0.5950911544308183,69.30717665680045,67.44560480550994,0.5950911544308183,0.5718855579785017,0.5036750191082775,3.4506113534852956,0.5745325897590161,0.4733410856076783,4.997406879937878
Diabetes,SVM,7,[1.],[0.3230859],6494.317294166691,0.507396754836526,[1.],[1.],6494.317294166691,6494.317294166691,140.96280550956726,69.30717665680045,67.44560480550994,0.5950911544308183,69.30717665680045,67.44560480550994,0.5950911544308183,0.5709714262425508,0.5084455944477205,3.455425229192976,0.5745325897590161,0.4733410856076783,4.997406879937878
Diabetes,SVM,8,[1.],[0.31413049],6494.317294166691,0.5073328949765251,[1.],[1.],6494.317294166691,6494.317294166691,140.19368600845337,69.30717665680045,67.44560480550994,0.5950911544308183,69.30717665680045,67.44560480550994,0.5950911544308183,0.5713025044149528,0.5064188271435482,3.451025029207239,0.5745325897590161,0.4733410856076783,4.997406879937878
Diabetes,SVM,9,[1.],[0.31030678],6494.317294166691,0.507347950393799,[1.],[1.],6494.317294166691,6494.317294166691,139.79358530044556,69.30717665680045,67.44560480550994,0.5950911544308183,69.30717665680045,67.44560480550994,0.5950911544308183,0.5715125427825316,0.506150867778135,3.447726359380697,0.5745325897590161,0.4733410856076783,4.997406879937878
